item,section_prompt,item_text,combined_text
hadsx5,During the past 7 days,I get a sort of frightened feeling like something awful is about to happen:,"During the past 7 days: I get a sort of frightened feeling like something awful is about to happen:
Very definitely and quite badly
Yes, but not too badly
A little, but it doesn't worry me
Not at all"
hadsx14,During the past 7 days,I can enjoy a good book or radio or TV programme:,"During the past 7 days: I can enjoy a good book or radio or TV programme:
Sometimes
Very seldom
Not often
Often"
hadsx12,During the past 7 days,I get sudden feelings of panic:,"During the past 7 days: I get sudden feelings of panic:
Not very often
Not at all
Very often indeed
Quite often"
hadsx2,During the past 7 days,I feel as if I am slowed down:,"During the past 7 days: I feel as if I am slowed down:
Sometimes
Not at all
Very often
Nearly all the time"
hadsx3,During the past 7 days,I still enjoy the things I used to enjoy:,"During the past 7 days: I still enjoy the things I used to enjoy:
Only a little
Not quite so much
Definitely as much
Hardly at all"
hadsx6,During the past 7 days,I have lost interest in my appearance:,"During the past 7 days: I have lost interest in my appearance:
I don't take so much care as I should
I take just as much care as ever
Definitely
I may not take quite as much care"
hadsx9,During the past 7 days,Worrying thoughts go through my mind:,"During the past 7 days: Worrying thoughts go through my mind:
A lot of the time
A great deal of the time
From time to time but not too often
Only occasionally"
hadsx1,During the past 7 days,I feel tense or ‘wound up’:,"During the past 7 days: I feel tense or ‘wound up’:
A lot of the time
Time to time, Occasionally
Most of the time
Not at all"
hadsx11,During the past 7 days,I feel cheerful:,"During the past 7 days: I feel cheerful:
Not often
Most of the time
Sometimes
Not at all"
hadsx13,During the past 7 days,I can sit at ease and feel relaxed:,"During the past 7 days: I can sit at ease and feel relaxed:
Not at all
Not often
Usually
Definitely"
hadsx4,During the past 7 days,I get a sort of frightened feeling like ‘butterflies in the stomach’:,"During the past 7 days: I get a sort of frightened feeling like ‘butterflies in the stomach’:
Not at all
Occasionally
Quite often
Very often"
hadsx7,During the past 7 days,I can laugh and see the funny side of things:,"During the past 7 days: I can laugh and see the funny side of things:
Not at all
Definitely not so much now
As much as I always could
Not quite so much now"
hadsx8,During the past 7 days,I feel restless as if I have to be on the move:,"During the past 7 days: I feel restless as if I have to be on the move:
Not very much
Quite a lot
Not at all
Very much indeed"
hadsx10,During the past 7 days,I look forward with enjoyment to things:,"During the past 7 days: I look forward with enjoyment to things:
As much as I ever did
Hardly at all
Definitely less than I used to
Rather less than I used to"
