table,model,score_mean,score_sd,n_items
gilbert_meta_2,gemini-3-flash-preview,-4.4408920985006264e-17,1.6554097535558827,20
gilbert_meta_2,gemini-3.1-pro-preview,-8.881784197001253e-17,1.6684884562178344,20
gilbert_meta_2,gemini-3.7-flash,-6.661338147750939e-17,1.6291483555572674,20
gilbert_meta_2,gpt-5.4-mini,1.1102230246251566e-17,0.9915840753018856,20
gilbert_meta_2,gpt-5.4,-2.2204460492503132e-17,1.5237829225644712,20
gilbert_meta_2,gpt-5.6-luna,1.3322676295501878e-16,1.570807663927952,20
gilbert_meta_2,gpt-5.6-sol,-1.554312234475219e-16,1.6388051004642754,20
gilbert_meta_7,gemini-3-flash-preview,3.700743415417188e-17,1.17634901995371,36
gilbert_meta_7,gemini-3.1-pro-preview,-3.854941057726238e-17,1.1845547747922074,36
gilbert_meta_7,gemini-3.7-flash,-3.700743415417188e-17,1.182079025009249,36
gilbert_meta_7,gpt-5.4-mini,9.25185853854297e-18,0.8045979296185459,36
gilbert_meta_7,gpt-5.4,-1.2335811384723961e-17,1.0767660933655927,36
gilbert_meta_7,gpt-5.6-luna,-1.2335811384723961e-17,1.0817142907892792,36
gilbert_meta_7,gpt-5.6-sol,5.551115123125783e-17,1.1451674507597807,36
gilbert_meta_8,gemini-3-flash-preview,2.2970131543968756e-17,1.2302760595243656,29
gilbert_meta_8,gemini-3.1-pro-preview,-1.5313421029312504e-17,1.3812179233001256,29
gilbert_meta_8,gemini-3.7-flash,-3.062684205862501e-17,1.4038194372970811,29
gilbert_meta_8,gpt-5.4-mini,1.5313421029312504e-17,1.1026645425952766,29
gilbert_meta_8,gpt-5.4,0.0,1.3575081802070306,29
gilbert_meta_8,gpt-5.6-luna,-1.9907447338106256e-16,1.3274351159075486,29
gilbert_meta_8,gpt-5.6-sol,1.3782078926381254e-16,1.3132054198591196,29
gilbert_meta_102,gemini-3-flash-preview,-7.401486830834377e-17,1.172184486305897,36
gilbert_meta_102,gemini-3.1-pro-preview,7.093091546216277e-17,1.212079777329468,36
gilbert_meta_102,gemini-3.7-flash,-1.5419764230904953e-17,1.20002094779177,36
gilbert_meta_102,gpt-5.4-mini,-6.1679056923619804e-18,0.8877575872681112,36
gilbert_meta_102,gpt-5.4,8.635067969306773e-17,1.0900551742410982,36
gilbert_meta_102,gpt-5.6-luna,-4.9343245538895844e-17,1.225878054246227,36
gilbert_meta_102,gpt-5.6-sol,8.635067969306773e-17,1.190363784511425,36
gilbert_meta_103,gemini-3-flash-preview,0.0,1.2900445987065974,29
gilbert_meta_103,gemini-3.1-pro-preview,-1.5313421029312504e-17,1.3702626556419693,29
gilbert_meta_103,gemini-3.7-flash,0.0,1.3324769543707524,29
gilbert_meta_103,gpt-5.4-mini,-1.6461927606510943e-16,1.1122299749912397,29
gilbert_meta_103,gpt-5.4,1.148506577198438e-16,1.3394672201560534,29
gilbert_meta_103,gpt-5.6-luna,-1.3782078926381254e-16,1.3403084625545911,29
gilbert_meta_103,gpt-5.6-sol,0.0,1.3651752897634906,29
gilbert_meta_104,gemini-3-flash-preview,0.0,1.8645454579732785,9
gilbert_meta_104,gemini-3.1-pro-preview,9.868649107779169e-17,1.7811752352462926,9
gilbert_meta_104,gemini-3.7-flash,-2.0970879354030734e-16,1.8616407772415098,9
gilbert_meta_104,gpt-5.4-mini,3.0839528461809902e-18,0.4659766565946652,9
gilbert_meta_104,gpt-5.4,0.0,0.8720209434646147,9
gilbert_meta_104,gpt-5.6-luna,0.0,1.718500017706689,9
gilbert_meta_104,gpt-5.6-sol,0.0,1.8035496050631183,9
frac20,gemini-3-flash-preview,4.4408920985006264e-17,1.6251562517110238,20
frac20,gemini-3.1-pro-preview,1.1102230246251565e-16,1.5615739387040175,20
frac20,gemini-3.7-flash,3.3306690738754695e-17,1.6446001755286481,20
frac20,gpt-5.4-mini,-9.43689570931383e-17,1.5919401426887432,20
frac20,gpt-5.4,1.554312234475219e-16,1.656486192870002,20
frac20,gpt-5.6-luna,-5.551115123125783e-18,1.449176644736867,20
frac20,gpt-5.6-sol,9.71445146547012e-17,1.5444607612525716,20
