item,section_prompt,item_text,combined_text
item_10,,4 4/12 - 2 7/12,4 4/12 - 2 7/12
item_15,,2 - 1/3,2 - 1/3
item_9,,3 7/8 - 2,3 7/8 - 2
item_4,,3 1/2 - 2 3/2,3 1/2 - 2 3/2
item_5,,4 3/5 - 3 4/10,4 3/5 - 3 4/10
item_2,,3/4 - 3/8,3/4 - 3/8
item_17,,7 3/5 - 4/5,7 3/5 - 4/5
item_11,,4 1/3 - 2 4/3,4 1/3 - 2 4/3
item_19,,4 - 1 4/3,4 - 1 4/3
item_12,,1 1/8 - 1/8,1 1/8 - 1/8
item_7,,3 - 4/7,3 - 4/7
item_3,,5/6 - 1/9,5/6 - 1/9
item_1,,5/3 - 3/4,5/3 - 3/4
item_13,,3 3/8 - 2 5/6,3 3/8 - 2 5/6
item_16,,4 5/7 - 1 4/7,4 5/7 - 1 4/7
item_6,,6/7 - 4/7,6/7 - 4/7
item_14,,3 4/5 - 3 2/5,3 4/5 - 3 2/5
item_18,,4 1/10 - 2 8/10,4 1/10 - 2 8/10
item_20,,4 1/3 - 1 5/3,4 1/3 - 1 5/3
item_8,,2/3 - 2/3,2/3 - 2/3
